n	potential_hex	potential	recurrence_upper	gap_lower	ratio_upper	evaluations
91	0x1.e8149a707851ep+11	3904.6438524579999	3904.1679040928448	0.47594836515509081	0.47151839783335353	399657
92	0x1.f2c5f5024a7f7p+11	3990.1861583189998	3989.6981852749936	0.48797304400613933	0.47143031171065702	405307
93	0x1.fd94f61921643p+11	4076.6550412800002	4076.1544943406934	0.50054693930678684	0.47134409079431161	411054
94	0x1.0440cedc6684p+12	4164.0505031590001	4163.5376580756456	0.51284508335447743	0.47125967668164337	416743
95	0x1.09c5f5f29dc1cp+12	4252.3725458299996	4251.8469275990983	0.5256182309012728	0.47117701338836571	422508
96	0x1.0f59f0514086dp+12	4341.621171238	4341.0828939599378	0.53827727806219616	0.47109604722634557	428203
97	0x1.14fcbdfa6a1c8p+12	4431.7963813919996	4431.2453125662096	0.55106882579002547	0.47101672668636424	433989
98	0x1.1aae5ef04783dp+12	4522.8981783669997	4522.3341467203963	0.56403164660332539	0.47093900232892555	439701
99	0x1.206ed3352050ep+12	4614.9265643369999	4614.3493615518819	0.57720278511806089	0.47086282668472618	445473
100	0x1.263e1acb40a81p+12	4707.8815414930004	4707.2909240230647	0.59061746993575059	0.4707881541493002	451199
101	0x1.2c1c35b5156d7p+12	4801.7631121479999	4801.159037434838	0.60407471316193539	0.4707149409026567	457034
102	0x1.320923f50c982p+12	4896.5712786189997	4895.9535008892881	0.61777772971163347	0.47064314481151492	462864
103	0x1.3804e58da9dd7p+12	4992.306043304	4991.6746654728086	0.63137783119145741	0.47057272535620709	468748
104	0x1.3e0f7a8182656p+12	5088.9674086659998	5088.3221491967915	0.64525946920821287	0.4705036435526998	474599
105	0x1.4428e2d332978p+12	5186.5553771949999	5185.8961858514176	0.65919134358227882	0.47043586187709763	480512
106	0x1.4a511e8563bddp+12	5285.069951429	5284.3967176826054	0.67323374639454403	0.47036934419980436	486375
107	0x1.50882d9ac842dp+12	5384.51113394	5383.8237602101235	0.68737372987652623	0.47030405572015038	492286
108	0x1.56ce101618342p+12	5484.8789273210004	5484.1771441581814	0.70178316281908326	0.47023996290474979	498176
109	0x1.5d22c5fa0ed7ep+12	5586.1733341769996	5585.4571179310269	0.71621624597264588	0.4701770334295936	504126
110	0x1.63864f497457p+12	5688.3943571609998	5687.6635569270302	0.73080023396960303	0.47011523612900841	510024
111	0x1.69f8ac071f145p+12	5791.5419989789998	5790.7957277258547	0.74627125314509601	0.47005454094464744	516015
112	0x1.7079dc35bfdep+12	5895.6162621969997	5894.8550883909011	0.76117380609866803	0.46999491886136807	521956
113	0x1.7709dfd83d76ep+12	6000.6171495819999	5999.8408592114865	0.77629037051337935	0.46993634188910655	527978
114	0x1.7da8b6f14d3d5p+12	6106.5446637169998	6105.7531861890966	0.79147752790322545	0.46987878298838115	533948
115	0x1.84566183d4e14p+12	6213.3988073649998	6212.5919942714572	0.8068130935425869	0.46982221605784508	539962
116	0x1.8b12df927b87p+12	6321.1795830560004	6320.3572607065789	0.82232234942148341	0.46976661586325813	545959
117	0x1.91de312036b4dp+12	6429.886993612	6429.0489492155493	0.8380443964506411	0.4697119580401784	552012
118	0x1.98b8562fb2a8cp+12	6539.5210415820002	6538.6672595823511	0.85378199964907242	0.46965821901623117	558005
119	0x1.9fa14ec39d3dp+12	6650.0817295209999	6649.211707951883	0.87002156911694317	0.46960537599894087	564075
120	0x1.a6991adee3ea6p+12	6761.5690602209997	6760.6829832013791	0.886077019620643	0.46955340695979181	570093
121	0x1.ad9fba843c98cp+12	6873.983036267	6873.0805441886087	0.90249207839133294	0.46950229057216047	576208
122	0x1.b4b52db65a3cp+12	6987.3236602329998	6986.4048182597035	0.91884197329636652	0.46945200619678862	582275
123	0x1.bbd97477e9e04p+12	7101.5909346709996	7100.6555678064524	0.93536686454717699	0.46940253385359254	588419
124	0x1.c30c8ecb9dab5p+12	7216.7848621519997	7215.8328335250108	0.9520286269889765	0.46935385419823117	594558
125	0x1.ca4e7cb42afb9p+12	7332.9054452589999	7331.9366333616226	0.96881189737723605	0.46930594849657614	600731
126	0x1.d19f3e344509ap+12	7449.9526865669995	7448.9665831757384	0.98610339126116731	0.46925879859958447	606899
127	0x1.d8fed34ea0212p+12	7567.9265886550002	7566.9233254497412	1.0032632052589177	0.46921238692138406	613113
128	0x1.e06d3c05f7437p+12	7686.8271541269996	7685.8066180209134	1.0205361060861831	0.46916669641888442	619276
129	0x1.e7ea785cfab57p+12	7806.6543855469999	7805.6164492226326	1.0379363243673649	0.4691217105670934	625489
130	0x1.ef76885656f9bp+12	7927.4082854649996	7926.3528346486064	1.0554508163932039	0.46907741334112435	631667
131	0x1.f7116bf4b9ea9p+12	8049.0888564360002	8048.0156495469646	1.0732068890356457	0.46903378919853167	637901
132	0x1.febb233ac5092p+12	8171.6961009690003	8170.6050784004692	1.0910225685311159	0.46899082305836787	644112
133	0x1.0339d71599ab7p+13	8295.2300216679996	8294.1207077851122	1.1093138828873632	0.46894850029215907	650369
134	0x1.071d866452a12p+13	8419.6906210380002	8418.5631925726229	1.1274284653773063	0.46890680669625767	656619
135	0x1.0b089f8ae96c6p+13	8545.0779016720007	8543.9322197759866	1.1456818960141388	0.46886572848680397	662930
136	0x1.0efb228ab7201p+13	8671.3918661410007	8670.2277713307667	1.1640948102340187	0.46882525227838467	669195
137	0x1.12f50f6511741p+13	8798.6325169909996	8797.4498957258147	1.1826212651849344	0.4687853650695829	675519
138	0x1.16f6661b519dbp+13	8926.7998567939994	8925.5984351317475	1.2014216622519596	0.46874605423198912	681803
139	0x1.1aff26aed44f9p+13	9055.8938881480008	9054.6733246720705	1.2205634759302482	0.46870730749692058	688158
140	0x1.1f0f5120f506fp+13	9185.9146136420004	9184.6750274983206	1.2395861436798439	0.46866911294091851	694500
141	0x1.2326e5730eb7dp+13	9316.8620358610005	9315.6033752460371	1.2586606149634461	0.46863145897394515	700874
142	0x1.2745e3a67dadbp+13	9448.7361574000006	9447.4577892125944	1.2783681874061583	0.46859433432850639	707239
143	0x1.2b6c4bbc9f46fp+13	9581.5369808619998	9580.2391948604381	1.2977860015616896	0.46855772804841322	713638
144	0x1.2f9a1db6d1f4ep+13	9715.2645088579993	9713.9471232138367	1.317385644162641	0.46852162947810577	720022
145	0x1.33cf599670446p+13	9849.9187439699999	9848.5813272334271	1.3374167365727769	0.46848602825065411	726459
146	0x1.380bff5cd619dp+13	9985.4996887899997	9984.1424324724303	1.3572563175694083	0.46845091427988378	732869
147	0x1.3c500f0b61c42p+13	10122.007345927999	10120.629994151304	1.3773517766949224	0.46841627775130745	739350
148	0x1.409b88a376ce5p+13	10259.441718033	10258.044109327513	1.3976087054870729	0.46838210911399758	745820
149	0x1.44ee6c26722fap+13	10397.802807705	10396.384943408562	1.4178642964379831	0.46834839906783493	752359
150	0x1.4948b995a463fp+13	10537.090617451	10535.6523276061	1.4382898449002821	0.46831513855337792	758887
151	0x1.4daa70f27a391p+13	10677.305149989001	10675.845956646077	1.459193342923754	0.46828231875746695	765455
152	0x1.5213923e46954p+13	10818.446407844	10816.966475103891	1.4799327401087792	0.46824993108743085	772002
153	0x1.56841d7a6021p+13	10960.514393568999	10959.013617887076	1.500775681923187	0.46821796717369396	778604
154	0x1.5afc12a832528p+13	11103.509109872	11101.987156936426	1.5219529355745178	0.46818641886793738	785199
155	0x1.5f7b71c8fe588p+13	11247.430559146	11245.887345879843	1.5432132661571811	0.46815527821627484	791863
156	0x1.64023ade35d5dp+13	11392.278744145	11390.713824669103	1.5649194758971132	0.46812453748130356	798512
157	0x1.68906de91bda5p+13	11538.053667276001	11536.467354786291	1.5863124897095984	0.46809418910608963	805222
158	0x1.6d260aeb0c28p+13	11684.75533113	11683.147433840029	1.6078972899704238	0.46806422573025169	811890
159	0x1.71c311e56d1b8p+13	11832.383738377001	11830.754165613736	1.6295727632641499	0.468034640179463	818609
160	0x1.766782d96b15dp+13	11980.938891255	11979.287484944727	1.6514063102731595	0.46800542543964857	825283
161	0x1.7b135dc880b7dp+13	12130.420792585001	12128.746986807762	1.6738057772381578	0.46797657469175585	832014
162	0x1.7fc6a2b3f850cp+13	12280.829444827999	12279.133450445008	1.6959943829915571	0.46794808126916643	838759
163	0x1.8481519cff771p+13	12432.164850231	12430.446575216756	1.7182750142437724	0.46791993865900122	845569
164	0x1.89436a850743fp+13	12584.427011543999	12582.686141666092	1.7408698779072436	0.46789214052439038	852372
165	0x1.8e0ced6d6417cp+13	12737.615931303	12735.852481945274	1.7634493577261308	0.46786468067228665	859244
166	0x1.92ddda5751397p+13	12891.731611857	12889.945062909652	1.7865489473479099	0.46783755305040653	866113
167	0x1.97b631440f2c2p+13	13046.774055594	13044.964444620919	1.8096109730813621	0.46781075175137166	873080
168	0x1.9c95f234e58fep+13	13202.743264954999	13200.910647042007	1.8326179129926456	0.46778427100889325	880063
169	0x1.a17d1d2b3d92dp+13	13359.639242630999	13357.783469612163	1.8557730188367711	0.46775810520048333	887101
170	0x1.a66bb2285d5b1p+13	13517.461991052	13515.58296565682	1.879025395179269	0.46773224882532888	894133
171	0x1.ab61b12d847b3p+13	13676.211512599	13674.308513994136	1.9029986048644785	0.46770669650829333	901238
172	0x1.b05f1a3bf3baep+13	13835.887809661999	13833.961216920221	1.926592741778222	0.46768144299831005	908361
173	0x1.b563ed54ec492p+13	13996.490884634	13994.54051772562	1.9503669083806014	0.4676564831646231	915551
174	0x1.ba702a79b17a7p+13	14158.020739924001	14156.04644488142	1.9742950425807064	0.46763181199379067	922761
175	0x1.bf83d1ab874f3p+13	14320.477377945999	14318.47868325182	1.9986946941789936	0.46760742458599192	930055
176	0x1.c49ee2ebb11c2p+13	14483.860801109	14481.837948575028	2.0228525339716721	0.46758331615150456	937361
177	0x1.c9c15e3b72e19p+13	14648.171011827	14646.12335399264	2.0476578343605065	0.46755948200794811	944747
178	0x1.ceeb439c11907p+13	14813.408012521	14811.335790304833	2.0722222161675741	0.4675359175773578	952178
