r2blk	8	56	1	1 1 2 2 1 1 2 2
r2blk	8	56	2	1 1 2 2 1 1 2 2
r2rnd	8	56	1	1 2 2 1 2 1 1 2
r2rnd	8	56	2	1 2 2 1 2 1 1 2
id	12	126	1	1 1 1 1 1 1 1 1 1 1 1 1
id	12	126	2	1 1 1 1 1 1 1 1 1 1 1 1
r2per	12	126	1	1 2 1 2 1 2 1 2 1 2 1 2
r2per	12	126	2	1 2 1 2 1 2 1 2 1 2 1 2
r2sum	12	126	1	1 1 1 1 1 1 2 2 2 2 2 2
r2sum	12	126	2	1 1 1 1 1 1 2 2 2 2 2 2
r2blk	12	126	1	1 1 1 2 2 2 1 1 1 2 2 2
r2blk	12	126	2	1 1 1 2 2 2 1 1 1 2 2 2
r2rnd	12	126	1	1 1 2 2 1 1 1 2 2 2 1 2
r2rnd	12	126	2	1 1 2 2 1 1 1 2 2 2 1 2
r3per	12	126	1	1 2 3 1 2 3 1 2 3 1 2 3
r3per	12	126	2	1 2 3 1 2 3 1 2 3 1 2 3
r3sum	12	126	1	1 1 1 1 2 2 2 2 3 3 3 3
r3sum	12	126	2	1 1 1 1 2 2 2 2 3 3 3 3
r3blk	12	126	1	1 1 2 2 3 3 1 1 2 2 3 3
r3blk	12	126	2	1 1 2 2 3 3 1 1 2 2 3 3
r3rnd	12	126	1	3 1 3 2 3 2 2 1 3 2 1 1
r3rnd	12	126	2	3 1 3 2 3 2 2 1 3 2 1 1
id	16	224	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	16	224	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	16	224	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	16	224	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	16	224	1	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2sum	16	224	2	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2blk	16	224	1	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2blk	16	224	2	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2rnd	16	224	1	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
r2rnd	16	224	2	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
id	20	350	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	20	350	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	20	350	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	20	350	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	20	350	1	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2sum	20	350	2	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
