r2blk	16	96	1	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2	2000
r2blk	16	96	2	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2	2000
r2rnd	16	96	1	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	2000
r2rnd	16	96	2	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	2000
id	20	150	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	2000
id	20	150	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	2000
r2per	20	150	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	20	150	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2sum	20	150	1	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2	2000
r2sum	20	150	2	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2	2000
r2blk	20	150	1	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	2000
r2blk	20	150	2	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	2000
r2rnd	20	150	1	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	2000
r2rnd	20	150	2	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	2000
r3per	12	54	1	1 2 3 1 2 3 1 2 3 1 2 3	2000
r3per	12	54	2	1 2 3 1 2 3 1 2 3 1 2 3	2000
r3sum	12	54	1	1 1 1 1 2 2 2 2 3 3 3 3	2000
r3sum	12	54	2	1 1 1 1 2 2 2 2 3 3 3 3	2000
r3blk	12	54	1	1 1 2 2 3 3 1 1 2 2 3 3	2000
r3blk	12	54	2	1 1 2 2 3 3 1 1 2 2 3 3	2000
r3rnd	12	54	1	3 1 3 2 3 2 2 1 3 2 1 1	2000
r3rnd	12	54	2	3 1 3 2 3 2 2 1 3 2 1 1	2000
r3per	15	84	1	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3	2000
r3per	15	84	2	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3	2000
r3sum	15	84	1	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3	2000
r3sum	15	84	2	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3	2000
r3blk	15	84	1	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3	2000
r3blk	15	84	2	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3	2000
r3rnd	15	84	1	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3	2000
r3rnd	15	84	2	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3	2000
r3per	9	30	1	1 2 3 1 2 3 1 2 3	2000
r3per	9	30	2	1 2 3 1 2 3 1 2 3	2000
r3sum	9	30	1	1 1 1 2 2 2 3 3 3	2000
r3sum	9	30	2	1 1 1 2 2 2 3 3 3	2000
r3blk	9	30	1	1 1 2 2 3 3 1 2 3	2000
r3blk	9	30	2	1 1 2 2 3 3 1 2 3	2000
