host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
22,10834,15718,1469662,8737,0,56,222,522,674,1240,2170,0,10834,0,0,0,0,0,0,0,0,0,0,0,0
23,8172,9774,1547094,7402,0,16,62,190,286,372,676,0,8172,0,0,0,1,1,1,0,0,0,0,0,0
24,7479,12031,2553028,5626,0,22,102,300,782,1062,2284,0,7479,0,0,0,0,0,0,0,0,0,0,0,0
25,8750,14044,2012338,6759,0,28,178,610,1002,1710,1766,0,8750,1,1,1,0,0,0,1,1,1,0,0,0
26,7078,11662,2689958,5281,0,26,118,546,816,1276,1802,0,7078,0,0,0,1,1,1,0,0,0,0,0,0
27,7056,12056,3298984,5074,8,52,194,340,722,1446,2238,0,7056,0,0,0,0,0,0,0,0,0,1,1,1
28,6807,9593,2815088,5667,0,0,36,240,574,966,970,0,6807,0,0,0,0,0,0,0,0,0,0,0,0
29,8431,13951,2482314,6319,0,24,176,496,796,1468,2560,0,8431,0,0,0,0,0,0,0,0,0,0,0,0
30,9993,20345,3433042,6638,4,72,518,1590,2516,2834,2818,0,9993,1,1,1,0,0,0,0,0,0,1,1,1
31,8321,11665,1852234,6816,0,10,54,174,416,1276,1414,0,8321,0,0,0,1,1,1,0,0,0,0,0,0
32,6869,9957,2485906,5594,0,2,26,280,434,952,1394,0,6869,0,0,0,0,0,0,0,0,0,0,0,0
33,5345,7341,3824096,4454,2,18,84,182,312,548,850,0,5345,1,1,1,1,1,1,0,0,0,0,0,0
34,9919,13999,1689184,8211,2,50,364,692,932,954,1086,0,9919,0,0,0,0,0,0,0,0,0,0,0,0
35,12628,17410,1346000,10564,8,66,246,568,1324,1364,1206,0,12628,0,0,0,0,0,0,1,1,1,0,0,0
36,9745,13047,1442950,8291,2,30,94,348,548,994,1286,0,9745,0,0,0,0,0,0,0,0,0,0,0,0
37,4047,4789,3555530,3707,0,4,8,24,80,296,330,0,4047,4,16,1,0,0,0,0,0,0,0,0,0
38,8081,14725,2469248,5676,2,60,206,466,612,2354,2944,0,8081,0,0,0,0,0,0,0,0,0,0,0,0
39,7339,9223,2417856,6471,0,10,76,240,394,520,644,0,7339,0,0,0,0,0,0,0,0,0,0,0,0
40,7930,11134,2350418,6635,2,44,142,332,478,1120,1086,0,7930,0,0,0,0,0,0,0,0,0,0,0,0
41,6418,10600,3370014,4665,0,8,38,326,496,1482,1832,0,6418,0,0,0,0,0,0,0,0,0,0,0,0
42,10846,17196,1806448,8212,0,8,60,336,938,1590,3418,0,10846,0,0,0,0,0,0,0,0,0,0,0,0
43,6275,11161,3935238,4426,0,2,50,280,858,1596,2100,0,6275,0,0,0,0,0,0,0,0,0,0,0,0
44,10289,13055,1536098,9076,12,62,152,344,612,792,792,0,10289,0,0,0,0,0,0,0,0,0,0,0,0
45,13993,20073,1260374,11427,2,34,272,854,1646,1664,1608,0,13993,0,0,0,0,0,0,0,0,0,0,0,0
46,9917,13677,1447922,8329,4,64,164,424,804,1304,996,0,9917,0,0,0,0,0,0,0,0,0,0,0,0
47,8295,14269,2480316,6038,0,8,84,436,888,1402,3156,0,8295,0,0,0,0,0,0,0,0,0,0,0,0
48,8054,13716,2595746,5814,10,34,144,576,636,1418,2844,0,8054,0,0,0,0,0,0,0,0,0,0,0,0
49,3390,5624,6516448,2558,0,4,54,212,374,728,862,0,3390,0,0,0,1,1,1,0,0,0,0,0,0
50,9906,16538,2077958,7134,0,44,160,390,904,1026,4108,0,9906,0,0,0,0,0,0,0,0,0,0,0,0
51,6147,8105,2332514,5291,2,16,66,204,496,676,498,0,6147,0,0,0,0,0,0,0,0,0,0,0,0
52,5627,7349,2405288,4820,0,4,22,52,206,590,848,0,5627,0,0,0,0,0,0,0,0,0,0,0,0
53,7313,10705,3444336,5881,0,0,58,322,594,952,1466,0,7313,0,0,0,0,0,0,0,0,0,0,0,0
54,4608,6826,3428140,3691,0,6,32,180,306,962,732,0,4608,0,0,0,1,1,1,0,0,0,0,0,0
55,4797,6165,3850506,4175,0,6,40,100,174,236,812,0,4797,0,0,0,0,0,0,0,0,0,0,0,0
56,9524,13062,1646776,7973,0,26,178,504,824,1094,912,0,9524,0,0,0,0,0,0,0,0,0,0,0,0
57,14132,23670,1528498,10503,20,126,608,1552,2248,2922,2062,0,14132,1,1,1,1,1,1,5,25,1,0,0,0
58,7007,9003,3236260,6109,0,16,64,230,444,492,750,0,7007,0,0,0,0,0,0,0,0,0,0,0,0
59,11749,17939,1479834,9209,4,104,614,1288,1458,1484,1238,0,11749,0,0,0,0,0,0,0,0,0,2,4,1
60,8139,14849,2265414,5776,0,26,114,544,1022,812,4192,0,8139,0,0,0,0,0,0,0,0,0,0,0,0
61,7071,10439,2690798,5611,0,12,100,366,434,1016,1440,0,7071,0,0,0,0,0,0,0,0,0,0,0,0
62,6869,10937,2897048,5261,0,36,116,276,596,774,2270,0,6869,0,0,0,0,0,0,0,0,0,0,0,0
63,7553,13857,2616794,5209,0,2,46,256,768,1338,3894,0,7553,0,0,0,0,0,0,0,0,0,0,0,0
64,4384,7480,4213024,3198,4,10,86,268,528,732,1468,0,4384,1,1,1,1,1,1,1,1,1,1,1,1
65,10260,17436,1694536,7532,0,28,288,914,1446,1842,2658,0,10260,0,0,0,0,0,0,3,9,1,0,0,0
66,14436,20172,957480,12018,4,44,178,832,1694,1696,1288,0,14436,0,0,0,1,1,1,3,9,1,0,0,0
67,9594,14580,1769456,7483,0,18,122,270,718,796,3062,0,9594,0,0,0,0,0,0,0,0,0,1,1,1
68,5747,7339,3429456,5060,0,2,26,146,340,440,638,0,5747,0,0,0,0,0,0,0,0,0,0,0,0
