host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
197,24,26,384,23,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0
198,41,41,236,41,0,0,0,0,0,0,41,0,0,0,0,0,0,1,1,1,0,0,0
199,53,55,186,52,0,0,0,0,2,0,53,0,0,0,0,0,0,0,0,0,0,0,0
200,46,48,214,45,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0
201,30,32,318,29,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0
202,23,23,408,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
203,33,33,328,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
204,62,64,144,61,0,0,0,0,2,0,62,0,0,0,0,0,0,0,0,0,0,0,0
205,35,35,258,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
206,43,43,218,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
207,55,65,230,50,0,0,0,2,8,0,55,0,0,0,0,0,0,1,1,1,0,0,0
208,13,13,720,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
209,48,48,182,48,0,0,0,0,0,0,48,0,0,0,0,0,0,1,1,1,0,0,0
210,38,38,246,38,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
211,56,62,194,53,0,0,0,4,2,0,56,0,0,0,0,0,0,0,0,0,0,0,0
212,51,51,190,51,0,0,0,0,0,0,51,0,0,0,0,0,0,1,1,1,0,0,0
213,37,37,246,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
214,31,33,290,30,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0
215,41,43,224,40,0,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0
216,26,28,340,25,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0
217,45,45,194,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
218,24,24,378,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
219,32,34,312,31,0,0,0,2,0,0,32,0,0,0,0,0,0,0,0,0,1,1,1
220,25,25,384,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
221,39,39,222,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
222,38,42,296,36,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0
223,33,33,296,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
224,34,42,322,30,0,0,0,0,8,0,34,0,0,0,0,0,0,0,0,0,0,0,0
225,52,54,188,51,0,0,0,2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
226,54,54,176,54,0,0,0,0,0,0,54,0,0,0,1,1,1,0,0,0,0,0,0
227,50,50,178,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
228,34,34,270,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
229,33,37,300,31,0,0,0,2,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0
230,16,16,606,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
231,30,34,336,28,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0
232,20,22,502,19,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0
233,36,36,268,36,0,0,0,0,0,0,36,0,0,0,1,1,1,0,0,0,0,0,0
234,37,37,250,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
235,62,66,174,60,0,0,0,0,4,0,62,0,0,0,0,0,0,0,0,0,0,0,0
236,48,56,208,44,0,0,0,0,8,0,48,0,0,0,1,1,1,0,0,0,0,0,0
237,45,47,204,44,0,0,0,2,0,0,45,0,0,0,1,1,1,0,0,0,0,0,0
238,32,34,296,31,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0
239,20,20,462,20,0,0,0,0,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0
240,36,36,248,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
241,60,74,194,53,0,0,0,4,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0
242,19,19,586,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
243,20,20,448,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
244,32,32,270,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
245,23,23,450,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
246,32,32,318,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
247,29,29,366,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
248,32,32,320,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
